newIndex,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl
CC11CM63SCRed2051f8db5443a8961c131dad48f20f,9e-06,8e-06,0.06643500000000001,0.180515,0.254178
CC11CM45SCRd3f32ab5228941f69df3e9db9242eb1e,8e-06,0.016604,0.077395,0.016051,0.118413
CC11CM18SCR94ec2e739a8b4c55b7665041f72fdadd,8e-06,0.12473900000000003,0.20778,0.113081,0.190655
CC11CM25SCRad81ceffb8b64123abcccc4d8e403fcc,8e-06,7.000000000000002e-06,0.265418,0.205783,0.127139
CC11CM27SCR90afbd8480464b64a54311623ff35b5c,0.07442599999999999,0.063234,0.339252,0.338532,0.108626
CC11CM32SCRabbedf5bd4474069819ada08415a4f76,7.000000000000002e-06,0.061038,0.019634,0.068713,0.168754
CC11CM17SCR4886ee6972ea4fec87d04555787ae746,6e-06,5e-06,0.101341,0.12707100000000002,0.12661
CC11CM99SCRc7e8dfefe4624ea2a4c7ebf34c6191ea,8e-06,7.000000000000002e-06,0.128631,0.27867,0.230364
CC11CM44SCR1d775cc0bfa54705a6a9c24e1ca9d4e5,8e-06,8e-06,0.207065,0.14741600000000002,0.223997
CC11CM25SCRc9adda453a8449c6b70df168c2127489,0.063715,0.084254,0.127861,0.157395,0.24792
CC11CM50SCR93a83b3493b046539241ab4249344bc8,7.000000000000002e-06,7.000000000000002e-06,0.135012,0.16428099999999998,0.274672
CC11CM57SCRa0b9b9e8eaf74aa994d9753aa32b553c,9e-06,1e-05,0.21874,0.198498,0.294593
CC11CM51SCRc5ccdf0a180845bbaef813f7281a812a,0.080716,0.28551,0.239798,0.067381,0.203133
CC11CM24SCR43994467de2f4bd3a06e29aec004b481,0.04765,0.025944,0.021056,0.291827,0.156575
CC11CM25SCR813241c095f14a1d968ee87c74a0636e,0.024695,0.012508,0.032496,0.017619,0.062825
CC11CM75SCRc1cd8ae6832143bab784dc6e2984c84b,7.000000000000002e-06,0.177225,0.264144,0.200001,0.286924
CC11CM39SCR79ecd6fbd38f4d81ad91de67c57d0be0,0.021807,9e-06,0.00971,0.145457,0.23444
CC11CM1SCR77fe9fd7439b43b3823acbcb5ca0eb73,5e-06,9e-06,0.128615,0.105837,0.258519
CC11CM13SCReea7b3a801844179bdecb8ccd6bce886,7.000000000000002e-06,6e-06,0.240063,0.304686,0.278679
CC11CM44SCR7e7aa0a77e944d0b896595f838f50a26,8e-06,6e-06,6e-06,0.177513,0.029531
CC11CM76SCR33d723daab03400b9e05886f96ff5d24,7.000000000000002e-06,7.000000000000002e-06,0.135012,0.16428099999999998,0.274672
CC11CM77SCR3f8bf0008a604c9f96bf16125bf03a7e,8e-06,7.000000000000002e-06,0.265418,0.205783,0.127139
CC11CM98SCR05fbb04ed7ac43b290a0a7614f375be6,0.19412,0.097577,0.17946700000000002,0.287096,0.215959
CC11CM97SCRa85222502636482e83de148629960d7a,1e-05,8e-06,0.27273200000000003,0.13653800000000002,0.08594
CC11CM74SCRf7dfa298f7fd46c88fa23f68dbdee615,5e-06,9e-06,0.097792,0.180582,0.11337
CC11CM16SCR985bb8bf518643b18374ac50eb55dfa8,1e-06,7.000000000000002e-06,9e-06,0.30206900000000003,0.248642
CC11CM3SCR8a866cd287344b038c5b4b062a12a0fa,1e-05,9e-06,0.128855,0.10113,0.258326
CC11CM57SCRaff8ebb1bfe7449b8c8fa6cdde3543b4,8e-06,0.08744,0.04897,0.296742,0.116699
CC11CM38SCR29925832682e4ebbb57f10fd3e400447,0.141714,0.150463,0.097512,0.157631,0.26361100000000004
CC11CM78SCR99dc1a9d821d43d385bb791fb4298914,0.241474,0.271596,0.264177,0.155595,0.178227
CC11CM91SCR7375a391da014af5a9cd3981e2478a41,5e-06,7.000000000000002e-06,0.009239,8e-06,0.193083
CC11CM95SCR2171e5b98979487f837802fa061b113d,9e-06,1e-05,0.21874,0.198498,0.294593
CC11CM47SCRa950fbc6c1b94fc98c2ae83365d2624e,1e-05,0.12158499999999997,0.361349,0.13855499999999998,0.105004
CC11CM39SCR37130b94f04848209e93b79e1cfcc6c2,0.141714,0.150463,0.097512,0.157631,0.26361100000000004
CC11CM76SCRc15c9f66632842d4a7566ac35633ad51,7.000000000000002e-06,0.177225,0.264144,0.200001,0.286924
CC11CM55SCRb1e7d660a1934b49a27e14c8843312f8,0.19412,0.097577,0.17946700000000002,0.287096,0.215959
